timestamp,tracking_state,num_features,tx,ty,tz,qx,qy,qz,qw
1785942440.171423435,2,1005,-0.980070591,-0.676056921,0.001502642,-0.007282786,0.004567907,-0.244480938,0.969615996
1785942440.261705160,2,1005,-0.987628520,-0.680244327,0.009431960,-0.006856953,0.010415935,-0.243834391,0.969736695
1785942440.359892130,2,1002,-0.993402839,-0.689250469,0.006322845,-0.005237657,0.010462944,-0.242733657,0.970022440
1785942440.474901199,2,1005,-0.996517003,-0.696978807,-0.006766769,-0.001097271,0.005135701,-0.241362184,0.970420897
1785942440.559707403,2,1004,-0.999916434,-0.700391591,-0.025795158,0.004380592,-0.001890877,-0.240202367,0.970711112
1785942440.660599709,2,1005,-1.003727436,-0.701705337,-0.041207898,0.008337647,-0.008033601,-0.239647582,0.970790923
1785942440.785233736,2,1005,-1.006600976,-0.703151643,-0.047357365,0.008942202,-0.011715959,-0.239802614,0.970709801
1785942440.871723890,2,1002,-1.009403110,-0.705145180,-0.043911729,0.006228483,-0.010869244,-0.239945486,0.970705509
1785942440.976767302,2,1007,-1.012387514,-0.706747413,-0.031044183,0.002010338,-0.006949921,-0.240688443,0.970575511
1785942441.071521282,2,1009,-1.016731739,-0.708461940,-0.014655876,-0.001905357,-0.000146747,-0.241028860,0.970516086
1785942441.160821199,2,1006,-1.017897487,-0.712754607,-0.002972014,-0.004512786,0.004618056,-0.241008997,0.970501423
1785942441.273536444,2,1005,-1.024153590,-0.720581770,0.006443286,-0.006346710,0.008925944,-0.240648910,0.970550418
1785942441.372609854,2,1008,-1.027112126,-0.727755606,0.003378482,-0.004232493,0.008167257,-0.239513725,0.970849395
1785942441.460178852,2,1003,-1.031404138,-0.734470844,-0.007978556,-0.000750632,0.004711284,-0.238133177,0.971220791
1785942441.572240829,2,1002,-1.035788655,-0.739747226,-0.023036923,0.002627427,-0.001113120,-0.237375647,0.971413732
1785942441.661591530,2,1003,-1.038485408,-0.742805302,-0.037741881,0.005588934,-0.007166573,-0.236762494,0.971525073
1785942441.760725498,2,1009,-1.044658184,-0.745283484,-0.043038644,0.005904136,-0.009985393,-0.236762628,0.971498311
1785942441.860609293,2,1005,-1.049678683,-0.746223330,-0.041121315,0.004894089,-0.009500017,-0.236610517,0.971545815
1785942441.962090731,2,1002,-1.050711036,-0.746803999,-0.034235358,0.002458795,-0.008270766,-0.237146288,0.971435666
1785942442.062459230,2,1005,-1.056060910,-0.750443280,-0.018121155,-0.001600673,-0.002998464,-0.237156928,0.971465409
1785942442.173654318,2,1005,-1.057044744,-0.754802644,-0.007068384,-0.004340069,0.000498751,-0.237119108,0.971470773
1785942442.260665894,2,1005,-1.060429811,-0.758005440,-0.000141494,-0.004387140,0.004236170,-0.236707807,0.971561790
1785942442.360680819,2,1002,-1.066102266,-0.766142845,0.003841867,-0.004495866,0.005932107,-0.236150086,0.971688092
1785942442.460498571,2,1004,-1.068590641,-0.773238957,-0.005284664,-0.001609905,0.003665768,-0.235200241,0.971938729
1785942442.576158285,2,1007,-1.074447036,-0.778898835,-0.015556812,0.001890231,0.001063253,-0.234409526,0.972135544
1785942442.663823128,2,1003,-1.078271151,-0.785349607,-0.026685704,0.004210128,-0.002879216,-0.233678266,0.972300649
1785942442.777279854,2,1007,-1.079785585,-0.788404942,-0.037365485,0.005900877,-0.006640426,-0.233549416,0.972304344
1785942442.884707928,2,1002,-1.084146261,-0.788457215,-0.038962938,0.005986711,-0.006520422,-0.233809069,0.972242236
1785942442.979292393,2,1001,-1.086899757,-0.788479447,-0.033674255,0.004533285,-0.004543469,-0.234065577,0.972199678
1785942443.073497057,2,1002,-1.089784026,-0.791345656,-0.022407008,0.000971986,-0.001062190,-0.234423265,0.972133577
1785942443.174619675,2,1002,-1.091379166,-0.792956471,-0.012134506,-0.001100755,0.002089665,-0.234704331,0.972063959
1785942443.274247169,2,1006,-1.096823573,-0.798251331,-0.003332049,-0.003064134,0.005554987,-0.234531358,0.972087860
1785942443.363469839,2,1007,-1.100865722,-0.805392325,-0.001840701,-0.002912954,0.005944590,-0.233728305,0.972279429
1785942443.460431099,2,1002,-1.107296228,-0.810912132,-0.008930070,-0.000709527,0.004188736,-0.233158827,0.972429395
1785942443.560777426,2,1007,-1.110905766,-0.815737188,-0.022766942,0.002908147,-0.000499692,-0.232316405,0.972635806
1785942443.660682201,2,1007,-1.114861131,-0.824099541,-0.034483738,0.004123785,-0.005840934,-0.231706396,0.972759545
1785942443.761930227,2,1003,-1.115514278,-0.825891137,-0.046359837,0.006412167,-0.010389104,-0.231636405,0.972725868
1785942443.874367476,2,1006,-1.118529201,-0.828628778,-0.046743020,0.005615810,-0.011101727,-0.231997654,0.972636759
1785942443.976234436,2,1010,-1.121710896,-0.831539094,-0.038671881,0.002884783,-0.008496827,-0.232508644,0.972552955
1785942444.074198723,2,1004,-1.125491977,-0.834253311,-0.023418136,-0.000595444,-0.003185702,-0.232973948,0.972477615
1785942444.172350645,2,1003,-1.128348708,-0.835362196,-0.011296380,-0.002855363,0.002107265,-0.233634517,0.972317994
1785942444.272964716,2,1007,-1.135763884,-0.840020061,0.002672213,-0.004775141,0.008157673,-0.233271763,0.972365677
1785942444.361499071,2,1008,-1.142107606,-0.845668375,0.005338778,-0.004953677,0.009791137,-0.232873023,0.972445309
1785942444.461566687,2,1006,-1.147680521,-0.850783885,-0.003985332,-0.002526092,0.006917611,-0.231997117,0.972688615
1785942444.576325178,2,1004,-1.155318499,-0.860410571,-0.015314423,-0.001726356,0.001282332,-0.231255859,0.972890615
1785942444.662153482,2,1004,-1.156584144,-0.861214161,-0.035046294,0.002304340,-0.005559651,-0.230760306,0.972992003
1785942444.761152983,2,1005,-1.156558275,-0.863399386,-0.034591742,0.001613092,-0.006267842,-0.230435356,0.973066151
1785942444.875276327,2,1005,-1.158151150,-0.866227806,-0.018909322,-0.001704543,-0.001689792,-0.230004564,0.973186612
1785942444.961166859,2,1004,-1.157216191,-0.867779195,-0.003564787,-0.004691067,0.002770651,-0.230049938,0.973163605
1785942445.062105417,2,1010,-1.159353137,-0.871287942,0.008983356,-0.006846998,0.007159428,-0.229968190,0.973147750
1785942445.172367811,2,1008,-1.165467262,-0.877633989,0.017549131,-0.007953002,0.010704512,-0.229630977,0.973186433
